Title,Date,Language,Author,MGender,CGender,NGender,journal,publisher,topics
Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles,2014-12-01,English,Zhiyou Peng,unknown,unknown,male,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles,2014-12-01,English,Qinghua Zhao,unknown,unisex,unknown,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles,2014-12-01,English,Kaichuang Ye,unknown,unknown,female,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles,2014-12-01,English,Fukang Yuan,unknown,unknown,male,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles,2014-12-01,English,Zhiyou Peng,unknown,unknown,male,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles,2014-12-01,English,Xinrui Yang,unknown,female,unknown,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles,2014-12-01,English,Lijia Huang,unknown,female,unknown,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles,2014-12-01,English,Mier Jiang,unknown,female,female,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles,2014-12-01,English,Qinghua Zhao,unknown,unisex,unknown,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles,2014-12-01,English,Guangyu Tang,unknown,unknown,male,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles,2014-12-01,English,Xinwu Lu1,unknown,unknown,male,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Inpatient hospital costs and length of stay for the treatment of affective and somatoform disorders &amp;ndash; evidence from Germany,2014-12-01,English,Tobias Romeyke,male,male,male,Risk Management and Healthcare Policy,Dove Press,"['\n', 'Public aspects of medicine', 'RA1-1270', 'Medicine', 'R']"
Inpatient hospital costs and length of stay for the treatment of affective and somatoform disorders &amp;ndash; evidence from Germany,2014-12-01,English,Hans Christoph,male,male,male,Risk Management and Healthcare Policy,Dove Press,"['\n', 'Public aspects of medicine', 'RA1-1270', 'Medicine', 'R']"
Inpatient hospital costs and length of stay for the treatment of affective and somatoform disorders &amp;ndash; evidence from Germany,2014-12-01,English,Harald Stummer1,male,male,male,Risk Management and Healthcare Policy,Dove Press,"['\n', 'Public aspects of medicine', 'RA1-1270', 'Medicine', 'R']"
Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles,2014-12-01,English,Li Pan,unknown,female,female,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles,2014-12-01,English,Yongguang Zhang,unknown,unknown,unknown,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles,2014-12-01,English,Jianliang Lv,unknown,unknown,unknown,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles,2014-12-01,English,Peng Zhou,male,male,unknown,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles,2014-12-01,English,Huiyun Chang,unknown,female,female,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles,2014-12-01,English,Yuzhen Fang,unknown,female,unknown,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles,2014-12-01,English,Haotai Chen,unknown,unknown,male,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles,2014-12-01,English,Xinsheng Liu,unknown,unknown,male,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles,2014-12-01,English,Junjun Shao,unknown,unknown,unknown,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles,2014-12-01,English,Furong Zhao,unknown,female,unknown,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles,2014-12-01,English,Yaozhong Ding,unknown,unknown,male,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles,2014-12-01,English,Tong Lin,male,unisex,unknown,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles,2014-12-01,English,Huiyun Chang,unknown,female,female,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles,2014-12-01,English,Yongguang Zhang,unknown,unknown,unknown,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles,2014-12-01,English,Yongguang Zhang,unknown,unknown,unknown,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles,2014-12-01,English,Yonglu Wang1,unknown,unknown,male,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Similar healthy osteoclast and osteoblast activity on nanocrystalline hydroxyapatite and nanoparticles of tri-calcium phosphate compared to natural bone,2014-12-01,English,Adam K,male,male,male,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Similar healthy osteoclast and osteoblast activity on nanocrystalline hydroxyapatite and nanoparticles of tri-calcium phosphate compared to natural bone,2014-12-01,English,Francis V,unknown,male,male,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Similar healthy osteoclast and osteoblast activity on nanocrystalline hydroxyapatite and nanoparticles of tri-calcium phosphate compared to natural bone,2014-12-01,English,Julia N,female,female,female,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Similar healthy osteoclast and osteoblast activity on nanocrystalline hydroxyapatite and nanoparticles of tri-calcium phosphate compared to natural bone,2014-12-01,English,Benjamin M,male,male,male,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Similar healthy osteoclast and osteoblast activity on nanocrystalline hydroxyapatite and nanoparticles of tri-calcium phosphate compared to natural bone,2014-12-01,English,Thomas J,male,male,male,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Rapid and quantitative detection of C-reactive protein using quantum dots and immunochromatographic test strips,2014-12-01,English,Xianglin Cheng,unknown,unknown,unknown,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Rapid and quantitative detection of C-reactive protein using quantum dots and immunochromatographic test strips,2014-12-01,English,Xu Pu,male,male,male,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Rapid and quantitative detection of C-reactive protein using quantum dots and immunochromatographic test strips,2014-12-01,English,Pen Jun,unknown,female,male,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Rapid and quantitative detection of C-reactive protein using quantum dots and immunochromatographic test strips,2014-12-01,English,Di Zhu,unknown,male,female,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Rapid and quantitative detection of C-reactive protein using quantum dots and immunochromatographic test strips,2014-12-01,English,Di Zhu,unknown,male,female,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Rapid and quantitative detection of C-reactive protein using quantum dots and immunochromatographic test strips,2014-12-01,English,Ming Chen1,unknown,female,unknown,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Rituximab therapy in a patient with low grade B-cell lymphoproliferative disease and concomitant acquired angioedema,2014-12-01,English,Ravdeep Kaur,unknown,unknown,male,Journal of Asthma and Allergy,Dove Press,"['Immunologic diseases. Allergy', 'RC581-607', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Rituximab therapy in a patient with low grade B-cell lymphoproliferative disease and concomitant acquired angioedema,2014-12-01,English,Aerik Anthony,male,male,male,Journal of Asthma and Allergy,Dove Press,"['Immunologic diseases. Allergy', 'RC581-607', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Rituximab therapy in a patient with low grade B-cell lymphoproliferative disease and concomitant acquired angioedema,2014-12-01,English,Catherine Baker,female,female,female,Journal of Asthma and Allergy,Dove Press,"['Immunologic diseases. Allergy', 'RC581-607', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Rituximab therapy in a patient with low grade B-cell lymphoproliferative disease and concomitant acquired angioedema,2014-12-01,English,Jason W,male,male,male,Journal of Asthma and Allergy,Dove Press,"['Immunologic diseases. Allergy', 'RC581-607', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
"Challenges in designing, conducting, and reporting oral health behavioral intervention studies in primary school age children: methodological issues",2014-12-01,English,Anna Mary,female,female,female,Pragmatic and Observational Research,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
"Challenges in designing, conducting, and reporting oral health behavioral intervention studies in primary school age children: methodological issues",2014-12-01,English,Margaret Coffey,female,female,female,Pragmatic and Observational Research,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
"Challenges in designing, conducting, and reporting oral health behavioral intervention studies in primary school age children: methodological issues",2014-12-01,English,Lindsey Dugdill,unknown,female,female,Pragmatic and Observational Research,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Peripheral nerve conduits: technology update,2014-12-01,English,D Arslantunali,unknown,unknown,unknown,Medical Devices : Evidence and Research,Dove Press,"['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']"
Peripheral nerve conduits: technology update,2014-12-01,English,T Dursun,unknown,unknown,unknown,Medical Devices : Evidence and Research,Dove Press,"['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']"
Peripheral nerve conduits: technology update,2014-12-01,English,D Yucel,unknown,unknown,unknown,Medical Devices : Evidence and Research,Dove Press,"['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']"
Peripheral nerve conduits: technology update,2014-12-01,English,misparsed,unknown,unknown,misparsed,Medical Devices : Evidence and Research,Dove Press,"['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']"
Peripheral nerve conduits: technology update,2014-12-01,English,misparsed,unknown,unknown,misparsed,Medical Devices : Evidence and Research,Dove Press,"['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']"
New insights into the genetic basis of infertility,2014-12-01,English,Thejaswini Venkatesh,unknown,unknown,female,The Application of Clinical Genetics,Dove Press,"['Genetics', 'QH426-470', 'Biology (General)', 'QH301-705.5', 'Science', 'Q']"
New insights into the genetic basis of infertility,2014-12-01,English,Padmanaban S,unknown,unknown,male,The Application of Clinical Genetics,Dove Press,"['Genetics', 'QH426-470', 'Biology (General)', 'QH301-705.5', 'Science', 'Q']"
New insights into the genetic basis of infertility,2014-12-01,English,Rie Tsutsumi3,female,female,female,The Application of Clinical Genetics,Dove Press,"['Genetics', 'QH426-470', 'Biology (General)', 'QH301-705.5', 'Science', 'Q']"
The Freedom SOLO bovine pericardial stentless valve,2014-12-01,English,Olaf Stanger,male,male,male,Research Reports in Clinical Cardiology,Dove Press,"['Diseases of the circulatory (Cardiovascular) system', 'RC666-701', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
The Freedom SOLO bovine pericardial stentless valve,2014-12-01,English,Hendrik Tevaearai,male,male,male,Research Reports in Clinical Cardiology,Dove Press,"['Diseases of the circulatory (Cardiovascular) system', 'RC666-701', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
The Freedom SOLO bovine pericardial stentless valve,2014-12-01,English,Thierry Carrel,unknown,male,male,Research Reports in Clinical Cardiology,Dove Press,"['Diseases of the circulatory (Cardiovascular) system', 'RC666-701', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
"A very rare case of HPV-53-related cervical cancer, in a 79-year-old woman with a previous history of negative Pap cytology [corrigendum]",2014-12-01,English,Zappacosta R,unknown,unknown,female,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
"A very rare case of HPV-53-related cervical cancer, in a 79-year-old woman with a previous history of negative Pap cytology [corrigendum]",2014-12-01,English,Lattanzio G,unknown,unknown,male,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
"A very rare case of HPV-53-related cervical cancer, in a 79-year-old woman with a previous history of negative Pap cytology [corrigendum]",2014-12-01,English,Viola P,female,female,female,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
"A very rare case of HPV-53-related cervical cancer, in a 79-year-old woman with a previous history of negative Pap cytology [corrigendum]",2014-12-01,English,Ianieri MM,unknown,unknown,female,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
"A very rare case of HPV-53-related cervical cancer, in a 79-year-old woman with a previous history of negative Pap cytology [corrigendum]",2014-12-01,English,Gatta DMP,unknown,male,male,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
"A very rare case of HPV-53-related cervical cancer, in a 79-year-old woman with a previous history of negative Pap cytology [corrigendum]",2014-12-01,English,Rosini S.,unknown,unknown,female,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Effects of spray-drying on w/o/w multiple emulsions prepared from a stearic acid matrix,"
",English,Nichrous Mlalila,unknown,unknown,male,Nanotechnology,Dove Press,"['Biotechnology', 'TP248.13-248.65', 'Chemical technology', 'TP1-1185', 'Technology', 'T']"
Effects of spray-drying on w/o/w multiple emulsions prepared from a stearic acid matrix,"
",English,Hulda Swai,female,female,female,Nanotechnology,Dove Press,"['Biotechnology', 'TP248.13-248.65', 'Chemical technology', 'TP1-1185', 'Technology', 'T']"
Effects of spray-drying on w/o/w multiple emulsions prepared from a stearic acid matrix,"
",English,misparsed,unknown,unknown,misparsed,Nanotechnology,Dove Press,"['Biotechnology', 'TP248.13-248.65', 'Chemical technology', 'TP1-1185', 'Technology', 'T']"
Effects of spray-drying on w/o/w multiple emulsions prepared from a stearic acid matrix,"
",English,Askwar Hilonga3,unknown,unknown,male,Nanotechnology,Dove Press,"['Biotechnology', 'TP248.13-248.65', 'Chemical technology', 'TP1-1185', 'Technology', 'T']"
Update on non-invasive imaging for congenital heart disease: an additional dimension,"
",English,Justin D,male,male,male,Reports in Medical Imaging,Dove Press,"['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']"
Update on non-invasive imaging for congenital heart disease: an additional dimension,"
",English,JD,unknown,unknown,misparsed,Reports in Medical Imaging,Dove Press,"['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']"
Update on non-invasive imaging for congenital heart disease: an additional dimension,"
",English,Anjali Chelliah,female,female,female,Reports in Medical Imaging,Dove Press,"['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']"
Update on non-invasive imaging for congenital heart disease: an additional dimension,"
",English,Wyman W,male,male,male,Reports in Medical Imaging,Dove Press,"['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']"
Neural correlates of fear: insights from neuroimaging,2014-12-01,English,Sarah N,female,female,female,Neuroscience and Neuroeconomics,Dove Press,"['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571']"
Neural correlates of fear: insights from neuroimaging,2014-12-01,English,Hugo D,male,male,male,Neuroscience and Neuroeconomics,Dove Press,"['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571']"
Endoluminal occlusion devices: technology update,2014-12-01,English,Tobias Zander,male,male,male,Medical Devices : Evidence and Research,Dove Press,"['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']"
Endoluminal occlusion devices: technology update,2014-12-01,English,Samantha Medina,female,female,female,Medical Devices : Evidence and Research,Dove Press,"['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']"
Endoluminal occlusion devices: technology update,2014-12-01,English,Guillermo Montes,male,male,male,Medical Devices : Evidence and Research,Dove Press,"['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']"
Endoluminal occlusion devices: technology update,2014-12-01,English,Nuñez-Atahualpa L,unknown,unknown,female,Medical Devices : Evidence and Research,Dove Press,"['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']"
Endoluminal occlusion devices: technology update,2014-12-01,English,Michel Valdes,unknown,male,male,Medical Devices : Evidence and Research,Dove Press,"['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']"
Endoluminal occlusion devices: technology update,2014-12-01,English,Manuel Maynar1,male,male,male,Medical Devices : Evidence and Research,Dove Press,"['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']"
"Canine angiostrongylosis: recent advances in diagnosis, prevention, and treatment",2014-12-01,English,Angela Di,female,female,female,Veterinary Medicine : Research and Reports,Dove Press,"['Veterinary medicine', 'SF600-1100', 'Animal culture', 'SF1-1100', 'Agriculture', 'S']"
"Canine angiostrongylosis: recent advances in diagnosis, prevention, and treatment",2014-12-01,English,Donato Traversa,male,male,male,Veterinary Medicine : Research and Reports,Dove Press,"['Veterinary medicine', 'SF600-1100', 'Animal culture', 'SF1-1100', 'Agriculture', 'S']"
"Does the presence of coexisting diseases modulate the effectiveness of a low-dose estrogen/progestin, ethinylestradiol/drospirenone combination tablet in dysmenorrhea? Reanalysis of two randomized studies in Japanese women",2014-12-01,English,Mikio Momoeda,male,male,male,International Journal of Women's Health ,Dove Press,"['Gynecology and obstetrics', 'RG1-991', 'Medicine', 'R']"
"Does the presence of coexisting diseases modulate the effectiveness of a low-dose estrogen/progestin, ethinylestradiol/drospirenone combination tablet in dysmenorrhea? Reanalysis of two randomized studies in Japanese women",2014-12-01,English,Masakane Hayakawa,unknown,unknown,male,International Journal of Women's Health ,Dove Press,"['Gynecology and obstetrics', 'RG1-991', 'Medicine', 'R']"
"Does the presence of coexisting diseases modulate the effectiveness of a low-dose estrogen/progestin, ethinylestradiol/drospirenone combination tablet in dysmenorrhea? Reanalysis of two randomized studies in Japanese women",2014-12-01,English,Yukio Shimazaki,male,male,male,International Journal of Women's Health ,Dove Press,"['Gynecology and obstetrics', 'RG1-991', 'Medicine', 'R']"
"Does the presence of coexisting diseases modulate the effectiveness of a low-dose estrogen/progestin, ethinylestradiol/drospirenone combination tablet in dysmenorrhea? Reanalysis of two randomized studies in Japanese women",2014-12-01,English,Hideki Mizunuma,male,female,male,International Journal of Women's Health ,Dove Press,"['Gynecology and obstetrics', 'RG1-991', 'Medicine', 'R']"
"Does the presence of coexisting diseases modulate the effectiveness of a low-dose estrogen/progestin, ethinylestradiol/drospirenone combination tablet in dysmenorrhea? Reanalysis of two randomized studies in Japanese women",2014-12-01,English,Yuji Taketani5,male,male,male,International Journal of Women's Health ,Dove Press,"['Gynecology and obstetrics', 'RG1-991', 'Medicine', 'R']"
