"","Title","Date","Language","Author","MGender","CGender","journal","publisher","topics","RGender"
"11","The clinical psychologist and the management of&amp;nbsp;inpatient pain: a small case series","
","English","Bianca","female","female","Neuropsychiatric Disease and Treatment","Dove Press","['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","female"
"12","The clinical psychologist and the management of&amp;nbsp;inpatient pain: a small case series","
","English","Stephen","male","male","Neuropsychiatric Disease and Treatment","Dove Press","['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","male"
"13","The clinical psychologist and the management of&amp;nbsp;inpatient pain: a small case series","
","English","Charlotte","female","female","Neuropsychiatric Disease and Treatment","Dove Press","['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","female"
"14","The clinical psychologist and the management of&amp;nbsp;inpatient pain: a small case series","
","English","Sarah","female","female","Neuropsychiatric Disease and Treatment","Dove Press","['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","female"
"15","The clinical psychologist and the management of&amp;nbsp;inpatient pain: a small case series","
","English","Ian","male","male","Neuropsychiatric Disease and Treatment","Dove Press","['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","male"
"16","The clinical psychologist and the management of&amp;nbsp;inpatient pain: a small case series","
","English","Carsten","male","male","Neuropsychiatric Disease and Treatment","Dove Press","['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","male"
"17","Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles","2014-12-01","English","Qinghua","unknown","unisex","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"18","Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles","2014-12-01","English","Zhiyou","unknown","unknown","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"19","Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles","2014-12-01","English","Qinghua","unknown","unisex","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"20","Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles","2014-12-01","English","Kaichuang","unknown","unknown","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"21","Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles","2014-12-01","English","Fukang","unknown","unknown","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"22","Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles","2014-12-01","English","Zhiyou","unknown","unknown","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"23","Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles","2014-12-01","English","Xinrui","unknown","female","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"24","Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles","2014-12-01","English","Lijia","unknown","female","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"25","Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles","2014-12-01","English","Mier","unknown","female","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"26","Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles","2014-12-01","English","Qinghua","unknown","unisex","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"27","Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles","2014-12-01","English","Guangyu","unknown","unknown","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"28","Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles","2014-12-01","English","Xinwu","unknown","unknown","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"29","Inpatient hospital costs and length of stay for the treatment of affective and somatoform disorders &amp;ndash; evidence from Germany","2014-12-01","English","Tobias","male","male","Risk Management and Healthcare Policy","Dove Press","['\n', 'Public aspects of medicine', 'RA1-1270', 'Medicine', 'R']","male"
"30","Inpatient hospital costs and length of stay for the treatment of affective and somatoform disorders &amp;ndash; evidence from Germany","2014-12-01","English","Hans","male","male","Risk Management and Healthcare Policy","Dove Press","['\n', 'Public aspects of medicine', 'RA1-1270', 'Medicine', 'R']","male"
"31","Inpatient hospital costs and length of stay for the treatment of affective and somatoform disorders &amp;ndash; evidence from Germany","2014-12-01","English","Harald","male","male","Risk Management and Healthcare Policy","Dove Press","['\n', 'Public aspects of medicine', 'RA1-1270', 'Medicine', 'R']","male"
"32","Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles","2014-12-01","English","Li","unknown","female","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
"33","Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles","2014-12-01","English","Yongguang","unknown","unknown","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"34","Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles","2014-12-01","English","Jianliang","unknown","unknown","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"35","Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles","2014-12-01","English","Peng","male","male","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"36","Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles","2014-12-01","English","Huiyun","unknown","female","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"37","Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles","2014-12-01","English","Yuzhen","unknown","female","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"38","Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles","2014-12-01","English","Haotai","unknown","unknown","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"39","Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles","2014-12-01","English","Xinsheng","unknown","unknown","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"40","Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles","2014-12-01","English","Junjun","unknown","unknown","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"41","Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles","2014-12-01","English","Furong","unknown","female","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"42","Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles","2014-12-01","English","Yaozhong","unknown","unknown","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"43","Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles","2014-12-01","English","Tong","male","unisex","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"44","Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles","2014-12-01","English","Huiyun","unknown","female","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"45","Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles","2014-12-01","English","Yongguang","unknown","unknown","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"46","Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles","2014-12-01","English","Yongguang","unknown","unknown","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"47","Induction of mucosal immune responses and protection of cattle against direct-contact challenge by intranasal delivery with foot-and-mouth disease virus antigen mediated by nanoparticles","2014-12-01","English","Yonglu","unknown","unknown","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"48","Similar healthy osteoclast and osteoblast activity on nanocrystalline hydroxyapatite and nanoparticles of tri-calcium phosphate compared to natural bone","2014-12-01","English","Adam","male","male","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"49","Similar healthy osteoclast and osteoblast activity on nanocrystalline hydroxyapatite and nanoparticles of tri-calcium phosphate compared to natural bone","2014-12-01","English","Francis","unknown","male","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"50","Similar healthy osteoclast and osteoblast activity on nanocrystalline hydroxyapatite and nanoparticles of tri-calcium phosphate compared to natural bone","2014-12-01","English","Julia","female","female","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
"51","Similar healthy osteoclast and osteoblast activity on nanocrystalline hydroxyapatite and nanoparticles of tri-calcium phosphate compared to natural bone","2014-12-01","English","Benjamin","male","male","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"52","Similar healthy osteoclast and osteoblast activity on nanocrystalline hydroxyapatite and nanoparticles of tri-calcium phosphate compared to natural bone","2014-12-01","English","Thomas","male","male","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"53","Rapid and quantitative detection of C-reactive protein using quantum dots and immunochromatographic test strips","2014-12-01","English","Xianglin","unknown","unknown","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"54","Rapid and quantitative detection of C-reactive protein using quantum dots and immunochromatographic test strips","2014-12-01","English","Xu","male","male","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"55","Rapid and quantitative detection of C-reactive protein using quantum dots and immunochromatographic test strips","2014-12-01","English","Pen","unknown","female","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"56","Rapid and quantitative detection of C-reactive protein using quantum dots and immunochromatographic test strips","2014-12-01","English","Di","unknown","male","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
"57","Rapid and quantitative detection of C-reactive protein using quantum dots and immunochromatographic test strips","2014-12-01","English","Di","unknown","male","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
"58","Rapid and quantitative detection of C-reactive protein using quantum dots and immunochromatographic test strips","2014-12-01","English","Ming","unknown","female","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"59","Rituximab therapy in a patient with low grade B-cell lymphoproliferative disease and concomitant acquired angioedema","2014-12-01","English","Ravdeep","unknown","unknown","Journal of Asthma and Allergy","Dove Press","['Immunologic diseases. Allergy', 'RC581-607', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","unknown"
"60","Rituximab therapy in a patient with low grade B-cell lymphoproliferative disease and concomitant acquired angioedema","2014-12-01","English","Aerik","male","male","Journal of Asthma and Allergy","Dove Press","['Immunologic diseases. Allergy', 'RC581-607', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","male"
"61","Rituximab therapy in a patient with low grade B-cell lymphoproliferative disease and concomitant acquired angioedema","2014-12-01","English","Catherine","female","female","Journal of Asthma and Allergy","Dove Press","['Immunologic diseases. Allergy', 'RC581-607', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","female"
"62","Rituximab therapy in a patient with low grade B-cell lymphoproliferative disease and concomitant acquired angioedema","2014-12-01","English","Jason","male","male","Journal of Asthma and Allergy","Dove Press","['Immunologic diseases. Allergy', 'RC581-607', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","male"
"63","Challenges in designing, conducting, and reporting oral health behavioral intervention studies in primary school age children: methodological issues","2014-12-01","English","Anna","female","female","Pragmatic and Observational Research","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
"64","Challenges in designing, conducting, and reporting oral health behavioral intervention studies in primary school age children: methodological issues","2014-12-01","English","Margaret","female","female","Pragmatic and Observational Research","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
"65","Challenges in designing, conducting, and reporting oral health behavioral intervention studies in primary school age children: methodological issues","2014-12-01","English","Lindsey","unknown","female","Pragmatic and Observational Research","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
"66","Peripheral nerve conduits: technology update","2014-12-01","English","D","unknown","unknown","Medical Devices : Evidence and Research","Dove Press","['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"67","Peripheral nerve conduits: technology update","2014-12-01","English","T","unknown","unknown","Medical Devices : Evidence and Research","Dove Press","['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"68","Peripheral nerve conduits: technology update","2014-12-01","English","D","unknown","unknown","Medical Devices : Evidence and Research","Dove Press","['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"69","Peripheral nerve conduits: technology update","2014-12-01","English","Hasirci","unknown","unknown","Medical Devices : Evidence and Research","Dove Press","['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"70","Peripheral nerve conduits: technology update","2014-12-01","English","Hasirci","unknown","unknown","Medical Devices : Evidence and Research","Dove Press","['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"71","New insights into the genetic basis of infertility","2014-12-01","English","Thejaswini","unknown","unknown","The Application of Clinical Genetics","Dove Press","['Genetics', 'QH426-470', 'Biology (General)', 'QH301-705.5', 'Science', 'Q']","unknown"
"72","New insights into the genetic basis of infertility","2014-12-01","English","Padmanaban","unknown","unknown","The Application of Clinical Genetics","Dove Press","['Genetics', 'QH426-470', 'Biology (General)', 'QH301-705.5', 'Science', 'Q']","unknown"
"73","New insights into the genetic basis of infertility","2014-12-01","English","Rie","female","female","The Application of Clinical Genetics","Dove Press","['Genetics', 'QH426-470', 'Biology (General)', 'QH301-705.5', 'Science', 'Q']","female"
"74","The Freedom SOLO bovine pericardial stentless valve","2014-12-01","English","Olaf","male","male","Research Reports in Clinical Cardiology","Dove Press","['Diseases of the circulatory (Cardiovascular) system', 'RC666-701', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","male"
"75","The Freedom SOLO bovine pericardial stentless valve","2014-12-01","English","Hendrik","male","male","Research Reports in Clinical Cardiology","Dove Press","['Diseases of the circulatory (Cardiovascular) system', 'RC666-701', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","male"
"76","The Freedom SOLO bovine pericardial stentless valve","2014-12-01","English","Thierry","unknown","male","Research Reports in Clinical Cardiology","Dove Press","['Diseases of the circulatory (Cardiovascular) system', 'RC666-701', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","male"
"77","A very rare case of HPV-53-related cervical cancer, in a 79-year-old woman with a previous history of negative Pap cytology [corrigendum]","2014-12-01","English","Zappacosta","unknown","unknown","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"78","A very rare case of HPV-53-related cervical cancer, in a 79-year-old woman with a previous history of negative Pap cytology [corrigendum]","2014-12-01","English","Lattanzio","unknown","unknown","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"79","A very rare case of HPV-53-related cervical cancer, in a 79-year-old woman with a previous history of negative Pap cytology [corrigendum]","2014-12-01","English","Viola","female","female","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
"80","A very rare case of HPV-53-related cervical cancer, in a 79-year-old woman with a previous history of negative Pap cytology [corrigendum]","2014-12-01","English","Ianieri","unknown","unknown","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"81","A very rare case of HPV-53-related cervical cancer, in a 79-year-old woman with a previous history of negative Pap cytology [corrigendum]","2014-12-01","English","Gatta","unknown","male","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"82","A very rare case of HPV-53-related cervical cancer, in a 79-year-old woman with a previous history of negative Pap cytology [corrigendum]","2014-12-01","English","Rosini","unknown","unknown","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"83","Effects of spray-drying on w/o/w multiple emulsions prepared from a stearic acid matrix","
","English","Nichrous","unknown","unknown","Nanotechnology","Dove Press","['Biotechnology', 'TP248.13-248.65', 'Chemical technology', 'TP1-1185', 'Technology', 'T']","unknown"
"84","Effects of spray-drying on w/o/w multiple emulsions prepared from a stearic acid matrix","
","English","Hulda","female","female","Nanotechnology","Dove Press","['Biotechnology', 'TP248.13-248.65', 'Chemical technology', 'TP1-1185', 'Technology', 'T']","female"
"85","Effects of spray-drying on w/o/w multiple emulsions prepared from a stearic acid matrix","
","English","Kalombo","unknown","unisex","Nanotechnology","Dove Press","['Biotechnology', 'TP248.13-248.65', 'Chemical technology', 'TP1-1185', 'Technology', 'T']","unknown"
"86","Effects of spray-drying on w/o/w multiple emulsions prepared from a stearic acid matrix","
","English","Askwar","unknown","unknown","Nanotechnology","Dove Press","['Biotechnology', 'TP248.13-248.65', 'Chemical technology', 'TP1-1185', 'Technology', 'T']","unknown"
"87","Update on non-invasive imaging for congenital heart disease: an additional dimension","
","English","Justin","male","male","Reports in Medical Imaging","Dove Press","['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"88","Update on non-invasive imaging for congenital heart disease: an additional dimension","
","English","JD","unknown","unknown","Reports in Medical Imaging","Dove Press","['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"89","Update on non-invasive imaging for congenital heart disease: an additional dimension","
","English","Anjali","female","female","Reports in Medical Imaging","Dove Press","['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
"90","Update on non-invasive imaging for congenital heart disease: an additional dimension","
","English","Wyman","male","male","Reports in Medical Imaging","Dove Press","['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"91","Neural correlates of fear: insights from neuroimaging","2014-12-01","English","Sarah","female","female","Neuroscience and Neuroeconomics","Dove Press","['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571']","female"
"92","Neural correlates of fear: insights from neuroimaging","2014-12-01","English","Hugo","male","male","Neuroscience and Neuroeconomics","Dove Press","['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571']","male"
"93","Endoluminal occlusion devices: technology update","2014-12-01","English","Tobias","male","male","Medical Devices : Evidence and Research","Dove Press","['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"94","Endoluminal occlusion devices: technology update","2014-12-01","English","Samantha","female","female","Medical Devices : Evidence and Research","Dove Press","['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
"95","Endoluminal occlusion devices: technology update","2014-12-01","English","Guillermo","male","male","Medical Devices : Evidence and Research","Dove Press","['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"96","Endoluminal occlusion devices: technology update","2014-12-01","English","Nuñez-Atahualpa L","unknown","unknown","Medical Devices : Evidence and Research","Dove Press","['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"97","Endoluminal occlusion devices: technology update","2014-12-01","English","Michel","unknown","male","Medical Devices : Evidence and Research","Dove Press","['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"98","Endoluminal occlusion devices: technology update","2014-12-01","English","Manuel","male","male","Medical Devices : Evidence and Research","Dove Press","['Medical technology', 'R855-855.5', 'Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"99","Canine angiostrongylosis: recent advances in diagnosis, prevention, and treatment","2014-12-01","English","Angela","female","female","Veterinary Medicine : Research and Reports","Dove Press","['Veterinary medicine', 'SF600-1100', 'Animal culture', 'SF1-1100', 'Agriculture', 'S']","female"
"100","Canine angiostrongylosis: recent advances in diagnosis, prevention, and treatment","2014-12-01","English","Donato","male","male","Veterinary Medicine : Research and Reports","Dove Press","['Veterinary medicine', 'SF600-1100', 'Animal culture', 'SF1-1100', 'Agriculture', 'S']","male"
"101","Does the presence of coexisting diseases modulate the effectiveness of a low-dose estrogen/progestin, ethinylestradiol/drospirenone combination tablet in dysmenorrhea? Reanalysis of two randomized studies in Japanese women","2014-12-01","English","Mikio","male","male","International Journal of Women's Health ","Dove Press","['Gynecology and obstetrics', 'RG1-991', 'Medicine', 'R']","male"
"102","Does the presence of coexisting diseases modulate the effectiveness of a low-dose estrogen/progestin, ethinylestradiol/drospirenone combination tablet in dysmenorrhea? Reanalysis of two randomized studies in Japanese women","2014-12-01","English","Masakane","unknown","unknown","International Journal of Women's Health ","Dove Press","['Gynecology and obstetrics', 'RG1-991', 'Medicine', 'R']","unknown"
"103","Does the presence of coexisting diseases modulate the effectiveness of a low-dose estrogen/progestin, ethinylestradiol/drospirenone combination tablet in dysmenorrhea? Reanalysis of two randomized studies in Japanese women","2014-12-01","English","Yukio","male","male","International Journal of Women's Health ","Dove Press","['Gynecology and obstetrics', 'RG1-991', 'Medicine', 'R']","male"
"104","Does the presence of coexisting diseases modulate the effectiveness of a low-dose estrogen/progestin, ethinylestradiol/drospirenone combination tablet in dysmenorrhea? Reanalysis of two randomized studies in Japanese women","2014-12-01","English","Hideki","male","female","International Journal of Women's Health ","Dove Press","['Gynecology and obstetrics', 'RG1-991', 'Medicine', 'R']","male"
"105","Does the presence of coexisting diseases modulate the effectiveness of a low-dose estrogen/progestin, ethinylestradiol/drospirenone combination tablet in dysmenorrhea? Reanalysis of two randomized studies in Japanese women","2014-12-01","English","Yuji","male","male","International Journal of Women's Health ","Dove Press","['Gynecology and obstetrics', 'RG1-991', 'Medicine', 'R']","male"
"106","Hyperopic correction: clinical validation with epithelium-on and epithelium-off protocols, using variable fluence and topographically customized collagen corneal crosslinking","2014-12-01","English","Anastasios","male","male","Clinical Ophthalmology","Dove Press","['Ophthalmology', 'RE1-994', 'Medicine', 'R']","male"
